"city","passion","loyalty","basicServ","leadership","education","safety","aesthetic","economy","socialOff","civicInv","openness","socialCap","domains","comOff","comAttach","lat","long","Year"
"Milledgeville, GA",-9.84051956462892,-13.4798696001624,-16.9595077469469,-20.1591159381245,-1.31913675370572,-15.2690053432047,-11.1453139056473,-11.0265190199875,-14.2153185479831,2.55351900701339,-11.5275951060507,-7.07680483833832,-6.57596035001593,-12.2404079480958,-11.5638779045101,33.08,-83.2322,"2010/2009"
"Myrtle Beach, SC",-2.32184221430836,-1.0619004616309,-0.122053213768567,-21.3411994271606,0.735845670633694,-16.9065474209732,-3.94290973419372,11.9420146048311,-5.0908260455038,-9.47962655088457,-3.86210571083137,-4.2365835811929,-5.29115729892183,-4.48560086034855,-1.72834415288115,33.6889,-78.8869,"2010/2009"
"Palm Beach, FL",3.10236124035612,1.29720143451297,24.9675901171862,-0.490029996062034,27.4223349415587,-8.0051590403034,2.37850753387154,31.7299010988929,2.04138957430841,-12.7728118718796,6.27085776703902,-2.78215135467673,-1.54068374380849,8.78530113650797,2.26935037849363,26.715,-80.0536,"2010/2009"
"Philadelphia, PA",-0.502633646159467,0.64245507354417,3.9604906995466,-6.13703762216952,-5.0703459715925,-7.1413119277144,3.95665066626616,14.8700668286203,2.62625612902806,-5.80368724540207,-0.02952504314149,-2.09292338264373,-2.31619904871266,0.0692282981071628,0.0438510375419838,40.01,-75.13,"2010/2009"
"San Jose, CA",0.645383016031246,-1.50149283495176,4.24297336738213,-3.23811903651196,-3.12702720847395,-1.09497483552261,6.85761766531947,23.0815639372115,4.48488707498436,-0.362716364857889,-6.87380868032469,0.236992565147247,-1.11506613648442,3.67364807504451,-0.381822524295345,37.3,-121.85,"2010/2009"
"St. Paul, MN",2.46558317100059,2.55942249340022,5.64054957274347,-17.1705486518149,-2.54555477070831,3.0043119160631,8.58041858109519,43.2950548588928,8.37224363140696,-7.69683581823941,8.65839803929074,0.320137490424656,0.880648141139261,5.4707120016956,2.5644286746036,44.9444,-93.0931,"2010/2009"
"State College, PA",1.96035451715272,3.51723311060097,19.2399570484159,29.1935014592503,10.2859208334158,4.18145702821755,13.3397611231884,27.7045133107046,11.6245630583652,-1.023484760823,12.6673224735453,1.94818057740771,6.28197264824732,13.9883985164606,2.70835746895727,40.79,-77.86,"2010/2009"
"Tallahassee, FL",-0.421512930335837,4.35866799891973,23.7089298063161,-12.3666799159909,8.16918512647695,-1.4492800354041,8.01117487426619,26.5296977590962,3.96665243256129,-5.54910803079723,1.67945211134781,-2.57522678100273,-0.473143051259257,7.88455783067437,1.88721588695111,30.46,-84.28,"2010/2009"
"Wichita, KS",9.26576269368671,9.24348856866837,12.2146802513317,22.2050065180359,14.377350997707,-5.25126028768513,21.3599405572101,36.3934841286126,7.49522773586102,-8.68706375261505,1.68358214718242,-3.09972158218677,-0.616913616837351,13.6530480760984,9.25480099767914,37.69,-97.34,"2010/2009"
"Aberdeen, SD",1.98830415846494,2.22767618635842,-4.58348104738285,-2.51537697586139,-3.28637432528089,5.74380635390339,2.06153724491389,-5.10368911778026,-0.287421582924225,4.45945417021693,-0.872360945139818,4.63808133448001,2.24164175093871,-0.791111963106516,2.10404466398273,45.4647,-98.4861,"2010/2008"
